,t,y,v_{y},v_{x},x
234,47.2,0.159823795,0.078874363,-0.00479259,0.440209599
235,47.4,0.173871259,0.084655591,-0.00327918,0.438812067
236,47.6,0.193686032,0.111348447,0.010612693,0.438897927
237,47.8,0.218410638,0.10596214,0.01538404,0.443057144
238,48,0.236070888,0.092607824,-0.001515098,0.445051543
239,48.2,0.255453767,0.099876628,0.005632246,0.442451105
240,48.4,0.276021539,0.104124836,0.005160415,0.447304442
241,48.6,0.297103702,0.099044832,-0.002912174,0.444515271
242,48.8,0.315639472,0.088693684,-0.001429087,0.446139572
243,49,0.332581175,0.094224237,-0.006477488,0.443943636
244,49.2,0.353329167,0.100546153,-0.001244485,0.443548577
245,49.4,0.372799636,0.096233971,-0.005446879,0.443445842
246,49.6,0.391822755,0.10914261,-0.013042099,0.441369825
247,49.8,0.41645668,0.11133246,-0.011717462,0.438229002
248,50,0.436355739,0.0917455,-0.009718877,0.436682841
249,50.2,0.45315488,0.081023865,-0.006656668,0.434341451
250,50.4,0.468765285,0.084426157,0.008468447,0.434020173
251,50.6,0.486925343,0.103065944,0.000223226,0.43772883
252,50.8,0.509991663,0.102009245,-0.009725726,0.434109464
253,51,0.527729041,0.089551135,-0.004664744,0.43383854
254,51.2,0.545812117,0.08503706,-0.003711309,0.432243566
255,51.4,0.561743865,0.083053546,-0.000704333,0.432354016
256,51.6,0.579033535,0.098649327,-0.007575432,0.431961833
257,51.8,0.601203596,0.101854812,-3.19E-05,0.429323843
258,52,0.61977546,0.089663012,0.003945081,0.431949089
259,52.2,0.6370688,0.096903288,-0.001385066,0.430901876
260,52.4,0.658536775,0.102754113,0.002713133,0.431395062
261,52.6,0.678170445,0.113013171,0.00442637,0.431987129
262,52.8,0.703742044,0.110610412,0.007412874,0.43316561
263,53,0.72241461,0.104623479,0.007324163,0.434952279
264,53.2,0.745591435,0.113967412,0.003200547,0.436095275
265,53.4,0.768001575,0.10185515,-0.002205457,0.436232497
266,53.6,0.786333495,0.098789453,-0.001401662,0.435213092
267,53.8,0.807517357,0.096186882,-0.000939092,0.435671833
268,54,0.824808248,0.090429178,-0.014989979,0.434837455
269,54.2,0.843689028,0.102708895,-0.01811104,0.429675841
270,54.4,0.865891806,0.105944051,-0.000127743,0.427593039
271,54.6,0.886066648,0.108673245,0.014854903,0.429624744
272,54.8,0.909361103,0.099425271,0.016211742,0.433535001
273,55,0.925836757,0.073677062,0.014626497,0.436109441
274,55.2,0.938831928,0.090161035,0.009472467,0.439385599
275,55.4,0.961901171,0.118597055,0.005770505,0.439898428
276,55.6,0.98627075,0.13731445,0.00993247,0.441693801
277,55.8,1.016826951,0.116161417,-0.005833452,0.443871415
278,56,1.032735317,0.084854355,-0.010717637,0.43936042
279,56.2,1.050768693,0.097067874,0.00114699,0.43958436
280,56.4,1.071562467,0.112589659,0.008457485,0.439819216
281,56.6,1.095804556,0.112282155,0.019324667,0.442967354
282,56.8,1.116475329,0.106528014,0.005288699,0.447549083
283,57,1.138415762,0.096537795,-0.006667885,0.445082834
284,57.2,1.155090447,0.089578233,0.000260427,0.444881929
285,57.4,1.174247055,0.102839772,0.000488056,0.445187005
286,57.6,1.196226355,0.098715741,0.010205727,0.445077151
287,57.8,1.213733351,0.007424346,0.020571312,0.449269295
288,58,1.199196094,-0.065932518,0.009820659,0.453305676
289,58.2,1.187360344,-0.05516443,-0.008086428,0.453197559
290,58.4,1.177130322,-0.064929787,-0.01142005,0.450071105
291,58.6,1.161388429,-0.079669037,-0.000432809,0.448629539
292,58.8,1.145262707,-0.084758545,0.004227387,0.449897982
293,59,1.127485011,-0.075570035,-0.00046334,0.450320494
294,59.2,1.115034693,-0.06902517,0.00529914,0.449712646
295,59.4,1.099874943,-0.061541519,0.006218014,0.45244015
296,59.6,1.090418085,-0.048587458,0.005000587,0.452199851
297,59.8,1.08043996,-0.060615067,0.006467323,0.454440385
298,60,1.066172058,-0.065410912,-0.000557114,0.454786781
299,60.2,1.054275595,-0.050706621,-0.007044274,0.454217539
300,60.4,1.04588941,-0.053738571,-0.012523277,0.451969071
301,60.6,1.032780167,-0.050960281,-0.015996435,0.449208228
302,60.8,1.025505298,-0.047528983,-0.010057089,0.445570497
303,61,1.013768574,-0.061703418,-0.00529099,0.445185393
304,61.2,1.000823931,-0.083309833,0.003942084,0.443454101
305,61.4,0.980444641,-0.089436621,0.005202766,0.446762226
306,61.6,0.965049282,-0.05697138,-0.006721719,0.445535207
307,61.8,0.957656088,-0.052169085,-0.001173638,0.444073539
308,62,0.944181648,-0.060337839,0.001673723,0.445065752
